Job Title,Company,Location,Experience Level,Salary,Industry,Required Skills
Early years teacher,Richardson Ltd,Sydney,Senior Level,87000,Healthcare,Pharmaceuticals
Counselling psychologist,"Ramos, Santiago and Stewart",San Francisco,Mid Level,50000,Marketing,"Google Ads, SEO, Content Writing"
Radio broadcast assistant,Franco Group,New York,Mid Level,77000,Healthcare,"Patient Care, Nursing, Medical Research, Pharmaceuticals"
"Designer, exhibition/display",Collins Inc,Berlin,Senior Level,90000,Software,Machine Learning
"Psychotherapist, dance movement",Barker Group,Sydney,Entry Level,112000,Healthcare,"Nursing, Medical Research, Pharmaceuticals"
Early years teacher,Dawson-Hudson,Sydney,Mid Level,93000,Finance,"Financial Modeling, Risk Analysis"
Academic librarian,Clark Ltd,London,Entry Level,104000,Healthcare,Pharmaceuticals
Quantity surveyor,Dean-Delacruz,Sydney,Entry Level,123000,Software,"Java, Python"
Archaeologist,Williams LLC,New York,Senior Level,102000,Finance,"Python, SQL, Risk Analysis"
Mining engineer,Berg LLC,London,Senior Level,67000,Manufacturing,Production Planning
"Education officer, environmental",Wallace-Gordon,Berlin,Senior Level,95000,Finance,"Risk Analysis, SQL, Financial Modeling"
Brewing technologist,Young-Cabrera,Sydney,Senior Level,83000,Finance,"Financial Modeling, SQL, Excel, Python"
Newspaper journalist,Cabrera Ltd,Berlin,Entry Level,79000,Marketing,"Social Media, Content Writing, SEO"
Chief Technology Officer,"Watson, Smith and Myers",San Francisco,Entry Level,149000,Retail,"Sales, Merchandising, Customer Service"
Accommodation manager,Phillips-Velasquez,London,Mid Level,103000,Manufacturing,"Supply Chain, Quality Control, Production Planning"
Management consultant,Morris Ltd,Bangalore,Entry Level,78000,Manufacturing,"Quality Control, Production Planning"
Animator,Brewer-Edwards,New York,Entry Level,65000,Finance,Excel
Fitness centre manager,Kent-Richardson,Bangalore,Senior Level,120000,Software,"Java, Python, C++"
Games developer,"Roth, Robinson and Burton",Bangalore,Senior Level,99000,Finance,Risk Analysis
Race relations officer,Erickson-Ortiz,Sydney,Entry Level,49000,Finance,"SQL, Excel, Python"
Armed forces operational officer,Miller-Jackson,Sydney,Entry Level,61000,Education,"Curriculum Design, EdTech, Research"
Commissioning editor,"Adams, Carroll and Garcia",Sydney,Entry Level,125000,Marketing,"Google Ads, Social Media, Content Writing, SEO"
Adult guidance worker,Shannon-Rojas,Toronto,Mid Level,88000,Manufacturing,"Supply Chain, Quality Control"
Contractor,"Marshall, Herrera and Sanchez",Toronto,Mid Level,107000,Retail,Merchandising
"Radiographer, therapeutic",Robinson PLC,San Francisco,Senior Level,83000,Software,Machine Learning
IT technical support officer,Jordan and Sons,Bangalore,Mid Level,100000,Education,Research
Soil scientist,Herrera LLC,Berlin,Entry Level,64000,Finance,"Risk Analysis, SQL"
Museum/gallery curator,Mendoza and Sons,Toronto,Mid Level,48000,Marketing,"SEO, Social Media, Market Research"
"Programmer, multimedia","Perkins, Mercado and Torres",San Francisco,Entry Level,119000,Marketing,"Google Ads, SEO"
Futures trader,Smith-Gates,San Francisco,Entry Level,101000,Manufacturing,"Quality Control, Supply Chain"
"Designer, furniture",Waller-Smith,Sydney,Entry Level,139000,Retail,"Customer Service, Sales, Merchandising"
"Accountant, chartered management","Jenkins, Sanchez and Wright",London,Mid Level,132000,Manufacturing,"Quality Control, Production Planning, Supply Chain"
Site engineer,Bailey Group,New York,Senior Level,64000,Finance,"Excel, Risk Analysis, Python, Financial Modeling"
"Programmer, multimedia",Kemp Inc,San Francisco,Senior Level,120000,Retail,"Customer Service, Merchandising"
Orthoptist,Jensen-Buchanan,Bangalore,Senior Level,110000,Marketing,"SEO, Google Ads"
Museum/gallery curator,"Huffman, Watts and Watson",London,Entry Level,115000,Retail,"Merchandising, Sales, Customer Service"
"Therapist, nutritional",Carter-Torres,San Francisco,Senior Level,43000,Education,EdTech
"Therapist, nutritional","Fox, Rhodes and Cain",London,Mid Level,125000,Software,Machine Learning
Cartographer,Adams-Hernandez,London,Senior Level,60000,Manufacturing,"Quality Control, Production Planning, Supply Chain"
Education administrator,Gomez and Sons,San Francisco,Mid Level,85000,Finance,"Excel, Python, SQL"
Writer,Mckinney-Martin,San Francisco,Senior Level,73000,Marketing,"Google Ads, Content Writing"
Dealer,Valdez PLC,Bangalore,Mid Level,85000,Retail,"Customer Service, Sales, Merchandising"
"Psychologist, forensic",Ross-Pennington,Sydney,Senior Level,137000,Manufacturing,Supply Chain
Clinical research associate,"Johnson, Owens and Bowen",Toronto,Senior Level,121000,Retail,"Customer Service, Sales, Merchandising"
Product manager,Robinson PLC,Bangalore,Mid Level,100000,Software,"SQL, C++"
"Doctor, hospital","Huynh, Petersen and Acosta",Toronto,Mid Level,106000,Software,"Python, SQL"
Chief Executive Officer,"Underwood, Bentley and Morris",Toronto,Senior Level,101000,Marketing,"Google Ads, Social Media, Market Research, SEO"
Insurance broker,Welch and Sons,Toronto,Mid Level,139000,Manufacturing,"Supply Chain, Quality Control"
Clinical molecular geneticist,Vazquez-Bailey,Sydney,Mid Level,147000,Manufacturing,"Supply Chain, Production Planning, Quality Control"
Sales promotion account executive,Smith-Ramsey,San Francisco,Senior Level,113000,Healthcare,Pharmaceuticals
Therapeutic radiographer,"Hernandez, Shaw and Evans",Toronto,Entry Level,56000,Manufacturing,"Supply Chain, Quality Control"
"Programmer, applications",Flynn LLC,London,Mid Level,88000,Manufacturing,"Quality Control, Production Planning"
"Buyer, retail",Cruz Inc,Sydney,Mid Level,51000,Retail,Customer Service
"Designer, jewellery","Booker, Craig and Hall",Bangalore,Entry Level,66000,Finance,"Python, Financial Modeling, Risk Analysis, SQL"
Facilities manager,"Montoya, Rodriguez and Ramirez",Toronto,Senior Level,95000,Healthcare,Pharmaceuticals
Sports coach,Ellis-Padilla,Berlin,Entry Level,121000,Finance,"SQL, Risk Analysis, Financial Modeling, Excel"
Higher education careers adviser,Hawkins-Jordan,London,Mid Level,52000,Education,Research
Chartered public finance accountant,"Gilmore, Johnson and Chung",London,Senior Level,99000,Healthcare,Medical Research
"Programme researcher, broadcasting/film/video","Graham, Russell and Lowe",Toronto,Mid Level,133000,Manufacturing,"Supply Chain, Quality Control"
English as a second language teacher,"Smith, Rodriguez and Zimmerman",New York,Mid Level,95000,Education,"EdTech, Teaching, Research"
Warehouse manager,Scott Group,San Francisco,Entry Level,59000,Retail,Sales
Quantity surveyor,"Ellis, Nixon and Clark",Bangalore,Senior Level,78000,Healthcare,"Medical Research, Nursing, Pharmaceuticals"
